timestamp,side,size,slippage_bps,deadline_s,confidence,rule_triggered,price,volatility,volume,volume_ma,liquidity_impact,price_change
2025-02-05 01:10:39,SELL,0.05,50,300,0.22083920528601783,MEAN_REVERSION_SELL,2.754323404866466e-09,0.0007487889241639,0.1117809395999524,0.0602242280450297,2.157562843352809,0.0007544941765087
2025-02-05 01:10:41,SELL,0.05,50,300,0.3994116581486839,MEAN_REVERSION_SELL,2.755537793945266e-09,0.0007518175409543,0.2176824342993193,0.0602364799381484,4.1986077038948535,0.0004409028644399
2025-02-05 01:11:01,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7556148607511543e-09,0.0007508901830791,0.0001,0.0621073116667435,0.0019287765305498,2.7967972733874445e-05
2025-02-05 01:11:29,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.752084507798581e-09,0.0007506167724167,0.0001,0.0617579514561624,0.0019301706096534,-0.0012811489017775
2025-02-05 01:11:35,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7519660931667614e-09,0.0007627892402535,0.0212577964014817,0.0614089112801257,0.4103117384013794,-4.302725133772321e-05
2025-02-05 01:11:37,BUY,0.08,30,120,0.021601123354318307,BREAKOUT_BUY,2.751322119718174e-09,0.0007480858982336,0.0849505761439617,0.0614329933961692,2.5849486969810744,-0.0002340048629908
2025-02-05 01:11:51,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.751321241888112e-09,0.0007474904512217,0.0001,0.0611685323578739,0.003042885421519,-3.190575381809138e-07
2025-02-05 01:12:03,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7508473170180767e-09,0.0007421555710262,0.0539952138122191,0.0611364990666763,1.6430124894100713,-0.0001722535568803
2025-02-05 01:12:03,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.749896206023571e-09,0.0007409878620344,0.1084041019293445,0.0614670702710129,3.298612613936706,-0.0003457520119787
2025-02-05 01:12:05,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.749445213764976e-09,0.0007407190028107,0.0514220828951799,0.061442331799001,1.5647150638588851,-0.0001640033749662
2025-02-05 01:12:29,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7494443368330227e-09,0.0007409429215757,0.0001,0.0608527309056419,0.003042885421519,-3.189486916904929e-07
2025-02-05 01:12:29,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.749435567536563e-09,0.0007404366573639,0.001,0.0603481988158474,0.0304288542151907,-3.1894795402181504e-06
2025-02-05 01:12:37,SELL,0.08,30,120,0.05166020083886576,BREAKOUT_SELL,2.748157101958339e-09,0.0007339211379517,0.1081480041764952,0.0598531274658184,3.3293802577876983,-0.0004649920126586
2025-02-05 01:12:41,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7481562153742892e-09,0.0007345033895621,0.0001,0.059832468403568,0.0030785406380262,-3.226103955691485e-07
2025-02-05 01:13:45,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.746176422933973e-09,0.0007340083850311,0.056,0.0592454868989476,1.7239256498144475,-0.0007204075333275
2025-02-05 01:14:31,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.744277684766451e-09,0.0007228537342048,0.00033,0.0597966029227433,0.0101588475792637,-0.0006914115756238
2025-02-05 01:14:41,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.744277596298623e-09,0.0007263797102439,1e-05,0.0594331550864418,0.0003078438660382,-3.2237199796595384e-08
2025-02-05 01:15:11,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7439351347629014e-09,0.0007259041848563,0.0387139148496406,0.0583332728513538,1.1917841216790703,-0.0001247911421875
2025-02-05 01:15:23,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7439598158512952e-09,0.0007257729135583,0.0480853362163303,0.0576941153616134,1.4802775800586334,8.99477836802277e-06
2025-02-05 01:15:27,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.744282178656864e-09,0.0007242697351947,0.0364233210825728,0.0576521626871377,1.1212695976013345,0.000117480876982
2025-02-05 01:15:29,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.7458857582500813e-09,0.0007229929231201,3.3261035942929e-05,0.05749597573362,0.0010239205893109,0.0005843348055417
2025-02-05 01:15:41,SELL,0.08,30,120,0.03312870551629222,BREAKOUT_SELL,2.748621060509284e-09,0.0007241982915467,0.1000060531372426,0.0563886042933576,3.0787269863161084,0.0009961456885029
2025-02-05 01:15:57,HOLD,0.0,50,300,0.5,NO_SIGNAL,2.749199953846651e-09,0.0007295481464735,0.0654477310346088,0.0568019260848289,1.991499466367129,0.0002106122759824
2025-02-05 01:17:57,SELL,0.05,50,300,0.20466424794786836,MEAN_REVERSION_SELL,2.7552895324781203e-09,0.0007296088899912,0.1068076246832649,0.0563345759742891,2.060080397728576,0.0022150366410956
2025-02-05 01:17:57,SELL,0.05,50,300,0.33378573369455633,MEAN_REVERSION_SELL,2.7563015504059974e-09,0.0007603554579489,0.1813450965099578,0.0573805824761905,3.49774166078703,0.000367300029978
2025-02-05 01:17:57,SELL,0.05,50,300,0.25846885705570355,MEAN_REVERSION_SELL,2.757091053388057e-09,0.0007607485784637,0.1414029553158692,0.0591920907955892,2.7273470156363673,0.0002864356339906
2025-02-05 01:18:01,SELL,0.05,50,300,0.2630391039553415,MEAN_REVERSION_SELL,2.758507793664378e-09,0.0007592953563528,0.1449547137386782,0.0605667566571728,2.7958524985173354,0.0005138532782876
