timestamp,price,amount0_eth,amount1_usdc,volume,volatility,volume_ma,tick_change,time_diff,liquidity_impact,price_change,tick,liquidity
2025-02-05 03:28:13,2.7297372160826e-09,-0.020790501768062485,56.726125,0.020790501768062485,0.0004820345069108573,0.06293876725510086,-2,2.0,0.6398683923606735,-0.00023511550942255388,-197201,32491840535144824
2025-02-05 03:28:17,2.7283716102790317e-09,-0.07779926734450672,212.185704,0.07779926734450672,0.00048211818178450826,0.06202014584726229,-5,4.0,2.394424755973891,-0.0005002700609871239,-197206,32491840535144824
2025-02-05 03:28:17,2.7290538715390108e-09,-0.07789355712726098,212.496024,0.07789355712726098,0.0004841755478271274,0.06236039891808786,3,0.0,2.3973267086241963,0.0002500617061871895,-197203,32491840535144824
2025-02-05 03:29:07,2.7272098937413394e-09,9.9671845636022e-05,-0.271962,9.9671845636022e-05,0.0004850345112025604,0.0628767201681281,-7,50.0,0.00306759617166691,-0.00067568391261967,-197210,32491840535144824
2025-02-05 03:29:33,2.728567018420834e-09,0.10991226595825435,-300.0,0.10991226595825435,0.0004891819246007748,0.06281812560068673,5,26.0,3.382765154204412,0.0004976238472179393,-197205,32491840535144824
2025-02-05 03:29:45,2.7286152241848997e-09,0.0054945938523124,-15.0,0.0054945938523124,0.000485069283145161,0.06359560015073927,0,12.0,0.16910688227615694,1.7667062505866055e-05,-197205,32491840535144824
2025-02-05 03:30:27,2.7307361669807276e-09,0.03513976337011145,-96.0,0.03513976337011145,0.000474015281494112,0.06275042880897495,8,42.0,1.081494690340079,0.0007772964018631411,-197197,32491850107060308
2025-02-05 03:30:29,2.7311476998758192e-09,0.046846840204524946,-128.0,0.046846840204524946,0.0004804501662730371,0.062009139450263866,1,2.0,1.4418027920898655,0.0001507040116389646,-197196,32491850107060308
2025-02-05 03:31:17,2.73066867962002e-09,-0.0545575522884187,148.917169,0.0545575522884187,0.00047486294112876335,0.061384538265169625,-2,48.0,1.679114981407711,-0.00017539156004669134,-197198,32491850107060308
2025-02-05 03:31:19,2.7292529417604617e-09,-0.05436174805769966,148.305733,0.05436174805769966,0.00046952929686715347,0.060837809189531154,-5,2.0,1.6730887246672093,-0.0005184583066135001,-197203,32491850107060308
2025-02-05 03:31:19,2.7297298714530133e-09,-0.05445951817400158,148.59845,0.05445951817400158,0.00047093921194656617,0.060284510450940465,2,0.0,1.676097790509252,0.00017474734029011146,-197201,32491850107060308
2025-02-05 03:31:29,2.731778528836819e-09,0.05459859385930108,-149.212775,0.05459859385930108,0.0004691094397229097,0.05973481142412087,8,10.0,1.6803781157243827,0.00075049821054833,-197193,32491850107060308
2025-02-05 03:32:29,2.7328818938689637e-09,0.07534705488884237,-205.99275,0.07534705488884237,0.0004725077586697838,0.059174878350253764,4,60.0,2.3039715160783776,0.00040389988445160743,-197189,32703119098057107
2025-02-05 03:32:39,2.7323716602091556e-09,-0.05826999830911089,159.150565,0.05826999830911089,0.00047318659311266847,0.058761802541048326,-2,10.0,1.7933722137224088,-0.00018670168694548858,-197191,32491859672657082
2025-02-05 03:33:01,2.7306127218455554e-09,-0.11064268741496436,302.024984,0.11064268741496436,0.0004733349183824118,0.05818152097618119,-7,22.0,3.405243298772266,-0.00064374052374177,-197198,32491859672657082
2025-02-05 03:33:13,2.7301345751638175e-09,-0.054474066587521144,148.660188,0.054474066587521144,0.0004772163617825494,0.05899597754773845,-2,12.0,1.6765450527093955,-0.00017510600383298852,-197200,32491859672657082
2025-02-05 03:33:13,2.729657126440178e-09,-0.05440883111492991,148.456176,0.05440883111492991,0.0004772398350927616,0.05901577294115435,-1,0.0,1.674537304514972,-0.0001748810216108057,-197201,32491859672657082
2025-02-05 03:33:45,2.72967319818092e-09,0.001830810631656916,-5.0,0.001830810631656916,0.00047395683210986955,0.059036353444418765,0,32.0,0.05634674808095397,5.887824000534459e-06,-197201,32491859672657082
2025-02-05 03:34:25,2.729671566885018e-09,-0.000734887177109663,2.005,0.000734887177109663,0.00047154689639413263,0.057920067396487515,0,40.0,0.02261757820307508,-5.976158256612791e-07,-197201,32491859672657082
2025-02-05 03:34:49,2.7301537408220288e-09,0.05491933977192071,-150.0,0.05491933977192071,0.0004715505177038307,0.057099416268258624,2,24.0,1.6902487007343947,0.00017664174066221386,-197199,32491869242708988
2025-02-05 03:34:49,2.7306359573413e-09,0.054909640865668075,-150.0,0.054909640865668075,0.0004657253937680661,0.05759359694348572,1,0.0,1.6899501981711784,0.00017662614088754025,-197198,32491869242708988
2025-02-05 03:34:49,2.731118216442833e-09,0.05489994452846881,-150.0,0.05489994452846881,0.00046609650104565266,0.0577621260235842,2,0.0,1.689651774675539,0.00017661054386855724,-197196,32491869242708988
2025-02-05 03:34:51,2.7316005181266264e-09,0.05489025075941568,-150.0,0.05489025075941568,0.0004661465793880195,0.05823112546886889,2,2.0,1.6893534302195545,0.00017659494960332314,-197194,32491869242708988
2025-02-05 03:34:57,2.7310825953760257e-09,-0.054562350904342576,148.952845,0.054562350904342576,0.00046619660296473066,0.05826799840753585,-2,6.0,1.6792616791841266,-0.0001896041339733994,-197196,32491869242708988
2025-02-05 03:35:19,2.730645856245209e-09,-0.04974321458602751,135.774043,0.04974321458602751,0.00046655690609212036,0.05830167615577572,-2,22.0,1.5309434558674901,-0.00015991428877187952,-197198,32491869242708988
2025-02-05 03:35:47,2.7335850649582192e-09,0.052656168700983656,-144.0,0.052656168700983656,0.0004668033628670504,0.0587991078990233,11,28.0,1.6101258639060239,0.0010763785813851122,-197187,32703138233705787
2025-02-05 03:35:47,2.734045290196105e-09,0.052647304649696185,-144.0,0.052647304649696185,0.00047848311506474016,0.05931066958603314,2,0.0,1.6098548180136045,0.0001683595816298087,-197185,32703138233705787
2025-02-05 03:35:47,2.7345055541723955e-09,0.05263844283645968,-144.0,0.05263844283645968,0.00047879146444542364,0.05891584696083031,1,0.0,1.6095838405565428,0.00016834541034886063,-197184,32703138233705787
2025-02-05 03:36:49,2.735699057091889e-09,0.08331192807081192,-228.0,0.08331192807081192,0.0004789896521924323,0.059438563184541125,5,62.0,2.5474501241430696,0.00043646022867728534,-197179,32704046796141694
2025-02-05 03:37:33,2.7357687389528656e-09,0.00796306870983125,-21.795735,0.00796306870983125,0.00047964179522271916,0.05996199911565953,0,44.0,0.24348878777811386,2.5471318124716854e-05,-197179,32704046796141694
2025-02-05 03:37:57,2.7349077635586224e-09,-0.051992338420842145,142.134963,0.051992338420842145,0.00047931883064150036,0.060037960673371575,-3,24.0,1.5898276571435999,-0.00031471059011104624,-197182,32703128661288586
2025-02-05 03:37:59,2.733889894398569e-09,-0.058142936594198315,158.891671,0.058142936594198315,0.0004801084935953024,0.06003759348008011,-4,2.0,1.7779013499409735,-0.00037217677817732124,-197186,32703128661288586
2025-02-05 03:37:59,2.7343979982824477e-09,-0.05831676829285731,159.396379,0.05831676829285731,0.00048123682830484204,0.06010031770627571,2,0.0,1.783216795458722,0.0001858538212968277,-197184,32703128661288586
2025-02-05 03:39:27,2.735053534178516e-09,0.10976024073799891,-300.2976,0.10976024073799891,0.00048081041883563065,0.060101548453341286,2,88.0,3.356261166165564,0.00023973682561204026,-197182,32703128661288586
2025-02-05 03:39:29,2.740728954504885e-09,0.05401859524925346,-148.111583,0.05401859524925346,0.00048121293387547745,0.06087478101764466,21,2.0,1.6517403973268037,0.0020750673635621937,-197161,32704046796141694
2025-02-05 03:39:29,2.7412711512426093e-09,0.000364855765456183,-1.000669,0.000364855765456183,0.000523704644709767,0.06109069604963471,2,0.0,0.011156288019353842,0.00019782939018209484,-197159,32704046796141694
2025-02-05 03:39:29,2.741267948829711e-09,0.06141755304943516,-168.429632,0.06141755304943516,0.0005118112200995504,0.060770193881807245,0,0.0,1.8779802216000063,-1.1682218656099636e-06,-197159,32704046796141694
2025-02-05 03:39:57,2.742026528330008e-09,-0.11555087985485692,316.743729,0.11555087985485692,0.0005101845559925332,0.0602729100101738,3,28.0,3.53322879505203,0.00027672577597564893,-197156,32704046796141694
2025-02-05 03:39:57,2.7430409359735045e-09,-0.10945662479148616,300.146466,0.10945662479148616,0.0005101536146074694,0.06032000736940445,4,0.0,3.346883199922508,0.00036994815076221526,-197152,32704046796141694
2025-02-05 03:39:59,2.7410136279743e-09,-0.11544318177530198,316.33155,0.11544318177530198,0.0005110279534082463,0.06141357361731932,-8,2.0,3.529935683339395,-0.0007390731842960743,-197160,32704046796141694
2025-02-05 03:40:07,2.74152567183057e-09,0.05833793136810115,-160.0,0.05833793136810115,0.0005098470729792663,0.062052819720443214,2,8.0,1.783813842113987,0.00018680821249624063,-197158,32704046796141694
2025-02-05 03:40:21,2.7397685337303453e-09,-0.058380760467685824,159.884727,0.058380760467685824,0.0005085052479020284,0.061537947778320314,-6,14.0,1.7851234384416725,-0.0006409343958655065,-197164,32704046796141694
2025-02-05 03:40:23,2.738748385329612e-09,-0.1164132855610643,318.726628,0.1164132855610643,0.0005108042931795905,0.06102311608776866,-4,2.0,3.559598794813317,-0.00037234838935253556,-197168,32704046796141694
2025-02-05 03:40:25,2.7382931288839755e-09,-0.05158515811503592,141.196304,0.05158515811503592,0.0005122926809070476,0.06167486442854219,-2,2.0,1.5773325679414618,-0.00016622791932080017,-197170,32704046796141694
2025-02-05 03:40:25,2.73874499493646e-09,-0.000387,1.059365,0.000387,0.0005125460121339136,0.06193114858029162,2,0.0,0.011833397940393628,0.00016501741457781278,-197168,32704046796141694
2025-02-05 03:41:05,2.7366523029992258e-09,-0.05192517532567107,142.041892,0.05192517532567107,0.0005125833922404636,0.06167624123194851,-8,40.0,1.5877293611198298,-0.0007641061658180893,-197176,32704046796141694
2025-02-05 03:41:07,2.736649095824907e-09,-0.000366506949888063,1.0025,0.000366506949888063,0.0005185702212832069,0.06219545258011139,0,2.0,0.011206776707869136,-1.1719334294982307e-06,-197176,32704046796141694
2025-02-05 03:41:13,2.7361769000077426e-09,-0.053968238737746456,147.605549,0.053968238737746456,0.000514906744676244,0.06219544385664823,-1,6.0,1.6502011164112875,-0.00017254525539453817,-197177,32704037223724493
2025-02-05 03:42:19,2.731930958062496e-09,-0.23447104580098851,640.479167,0.23447104580098851,0.0005151175257376232,0.06221735718653476,-16,66.0,7.216303322054479,-0.001551779033451633,-197193,32491850097874586
2025-02-05 03:42:19,2.731457688841563e-09,-0.05387927703492855,147.108123,0.05387927703492855,0.000538759836945534,0.06404271744237962,-2,0.0,1.65823973927705,-0.0001732361572081581,-197195,32491850097874586
